"lon","lat"
-95.2075426,29.5825855
-105.084423,40.5852602
-90.0489801,35.1495343
-83.9293952,42.6072552
-85.1797142,42.3211522
-88.0070315,43.0166806
-48.3242858,-10.249091
-82.8001026,27.9658533
-94.367996,36.8689554
46.869107,-18.766947
-94.7155161,36.6382925
-71.0588801,42.3600825
-95.712891,37.09024
-88.7878678,43.7844397
-94.7335709,38.9536174
-105.2551187,54.5259614
-97.5680965,35.5761837
27.4203974,-32.8938109
-121.4943996,38.5815719
-80.6081089,28.0836269
-47.8821658,-15.7942287
-48.3489356,-21.518365
-122.2913078,37.8271784
-73.9441579,40.6781784
-79.9958864,40.4406248
-120.9577098,37.5949316
-74.3118212,39.9652553
-96.3699632,30.6743643
-83.6499321,41.04422
-39.3206241,-5.4983977
-83.336188,42.5921924
-82.5993294,39.7136754
-122.5310874,37.9735346
-118.2653529,34.0526919
-77.0368707,38.9071923
-111.0937311,39.3209801
-74.5402506,40.2677539
-85.6023643,44.3148443
-93.3499489,44.8896866
-122.4194155,37.7749295
-96.6227714,32.7287413
-98.4864829,45.4646985
-95.3010624,32.3512601
-73.9829204,40.7381306
-118.2436849,34.0522342
-117.0430865,34.033625
-85.7584557,38.2526647
-80.8431267,35.2270869
-88.7878678,43.7844397
6.8936619,52.2215372
-73.8648268,40.8447819
-42.9899491,-22.535199
-117.1610838,32.715738
150.3911849,-23.6232617
-95.712891,37.09024
-111.9400054,33.4255104
-119.4179324,36.778261
-77.0368707,38.9071923
-122.2711137,37.8043637
-74.2048677,40.767323
-87.6297982,41.8781136
-102.7818628,38.4805615
-105.7820674,39.5500507
-82.7368616,42.6811436
-83.4832692,42.4311464
-83.4754913,42.48059
-83.373339,42.5678534
-122.2913078,37.8271784
-86.5804473,35.5174913
-121.4943996,38.5815719
-94.6707917,38.9822282
-97.7997138,30.2306906
-117.1610838,32.715738
-121.016225,38.8880247
36.8219462,-1.2920659
-74.0059728,40.7127753
1.221381,52.622271
-87.5289151,34.700923
-80.206436,26.2445263
-91.9623327,30.9842977
-120.7401385,47.7510741
-74.4056612,40.0583238
0.121817,52.205337
-118.2436849,34.0522342
-117.1610838,32.715738
-91.9623327,30.9842977
-78.4678382,-0.1806532
-85.6023643,44.3148443
-91.1403196,30.4582829
7.0498442,4.815554
-77.0368707,38.9071923
-99.9018131,31.9685988
-112.0740373,33.4483771
-95.712891,37.09024
-2.8738498,53.5596834
-79.9958864,40.4406248
-3.17909,51.481581
-43.1728965,-22.9068467
-117.8311428,33.7174708
-82.1400923,29.1871986
-121.2716988,38.7481052
-82.0105148,33.4734978
-99.9018131,31.9685988
-122.6764815,45.5230622
-84.3879824,33.7489954
-91.5301683,41.6611277
-81.6943605,41.49932
-95.712891,37.09024
-97.7430608,30.267153
20.0867909,32.1194242
-80.1917902,25.7616798
-77.9927651,35.3848841
-89.4012302,43.0730517
3.3792057,6.5243793
-89.4012302,43.0730517
-74.4056612,40.0583238
-87.6297982,41.8781136
-111.9388258,40.6677248
-81.5157535,27.6648274
-73.9955325,40.7421662
-117.8311428,33.7174708
-81.3792365,28.5383355
-43.1728965,-22.9068467
-71.972315,41.944202
-84.2807329,30.4382559
-43.1728965,-22.9068467
-149.0729714,62.4113634
-81.0250784,34.9248667
-122.3320708,47.6062095
-87.6297982,41.8781136
-80.8431267,35.2270869
-74.0059728,40.7127753
-95.712891,37.09024
-95.712891,37.09024
-97.9908366,26.1595194
-86.902298,32.3182314
-77.0368707,38.9071923
-95.3698028,29.7604267
-119.7674034,39.1637984
-99.9018131,31.9685988
-118.2436849,34.0522342
-97.1330683,33.2148412
-88.7503647,41.9294736
-94.2020084,46.3526733
-122.3320708,47.6062095
-96.4597089,32.9312336
-82.9286428,42.6651965
-83.2454883,42.583645
-83.0457538,42.331427
-83.4702132,42.3714253
-83.8885552,42.3383697
-83.1499239,42.2142064
-83.7049498,42.7978061
-86.3639633,43.6086194
-83.2113192,42.5467012
-82.9195514,42.5868882
-83.1346478,42.4605917
-83.1835389,42.5030908
-83.7802214,42.5294773
-83.7507315,42.6315066
-84.0205029,42.3180919
-83.4856913,42.6592995
-83.1763145,42.3222599
-83.7816075,42.1667072
-82.9118591,42.3861485
-82.4115103,29.6606723
-93.2650108,44.977753
-68.7778138,44.8011821
-43.1728965,-22.9068467
113.543873,22.198745
-74.0059728,40.7127753
-82.9000751,32.1656221
-82.6402915,27.7676008
-81.5157535,27.6648274
-111.0937311,39.3209801
-71.3824374,42.4072107
-84.3879824,33.7489954
-118.2436849,34.0522342
-71.0588801,42.3600825
-118.2436849,34.0522342
-95.712891,37.09024
-43.1728965,-22.9068467
-80.0053176,35.9556923
-91.1403196,30.4582829
-86.7816016,36.1626638
-116.419389,34.9592083
-75.1652215,39.9525839
-95.712891,37.09024
-90.1848103,32.2987573
-97.0969552,33.0145673
-94.6274636,39.114053
-122.6764815,45.5230622
-74.2414092,43.1326734
-87.6297982,41.8781136
-95.712891,37.09024
-87.6297982,41.8781136
-89.6501481,39.7817213
-93.097702,41.8780025
-95.712891,37.09024
-74.1819311,40.6345952
-72.9278835,41.308274
-77.4793641,39.0832176
-83.8510732,43.0630833
-85.6023643,44.3148443
-73.5876273,40.7556561
-97.092877,35.0077519
-73.2928943,40.8428759
-78.6568942,37.4315734
-82.8001026,27.9658533
-97.7430608,30.267153
-81.0348144,34.0007104
-91.5301683,41.6611277
-97.7430608,30.267153
-78.6381787,35.7795897
-122.6059582,46.9420431
-73.9441579,40.6781784
