"","lon","lat"
"193",-82.3248262,29.6516344
"194",-92.2895948,34.7464809
"195",-43.2959357,-22.8234412
"196",-86.1349019,40.2671941
"197",NA,NA
"198",-114.9817213,36.0395247
"199",-74.0059728,40.7127753
"200",NA,NA
"201",-43.1728965,-22.9068467
"202",-94.5785667,39.0997265
"203",-84.3640829,33.7589188
"204",NA,NA
"205",-75.5071103,35.3342187
"206",-122.6764815,45.5230622
"207",-74.4056612,40.0583238
"208",-74.0059728,40.7127753
"209",NA,NA
"210",-119.4179324,36.778261
"211",-123.0350963,44.9428975
"212",-86.2519898,41.6763545
"213",-118.2436849,34.0522342
"214",-91.8523711,36.7281154
"215",-81.5157535,27.6648274
"216",-74.118476,40.9039878
"217",NA,NA
"218",-82.5545239,27.3955284
"219",-91.8187285,30.0035365
"220",-74.0059728,40.7127753
"221",-105.7820674,39.5500507
"222",-95.712891,37.09024
"223",-106.6055534,35.0853336
"224",NA,NA
"225",-75.26046,40.0084456
"226",NA,NA
"227",-94.6858998,46.729553
"228",-80.1917902,25.7616798
"229",-72.105169,41.618468
"230",-119.4179324,36.778261
"231",-123.0350963,44.9428975
"232",-86.2519898,41.6763545
"233",NA,NA
"234",-91.8523711,36.7281154
"235",-81.5157535,27.6648274
"236",-74.118476,40.9039878
"237",NA,NA
"238",-82.5545239,27.3955284
"239",-91.8187285,30.0035365
"240",-74.0059728,40.7127753
"241",-105.7820674,39.5500507
"242",-95.712891,37.09024
"243",-106.6055534,35.0853336
"244",-95.712891,37.09024
"245",-75.26046,40.0084456
"246",NA,NA
"247",-94.6858998,46.729553
"248",-80.1917902,25.7616798
"249",-72.105169,41.618468
"250",NA,NA
"251",-84.3879824,33.7489954
"252",-74.4056612,40.0583238
"253",-121.8863286,37.3382082
"254",-43.1728965,-22.9068467
"255",-113.5263186,53.5232189
"256",-73.9441579,40.6781784
"257",25.48583,42.733883
"258",-87.6297982,41.8781136
"259",-93.711332,41.5772115
"260",-86.1349019,40.2671941
"261",-118.1937395,33.7700504
"262",-96.7969879,32.7766642
"263",-43.4685442,-22.8742263
"264",-73.087749,41.6032207
"265",-74.0626093,40.9595279
"266",-71.0588801,42.3600825
"267",-80.0942087,26.9342246
"268",-80.0942087,26.9342246
"269",-76.8205119,42.167019
"270",-74.0059728,40.7127753
"271",-95.2621553,29.9988312
"272",-41.7208243,-13.8545436
"273",-4.2581619,52.242793
"274",-95.7974526,36.060949
"275",-75.6374083,40.3337075
"276",-77.0368707,38.9071923
"277",-95.712891,37.09024
"278",-96.7311034,43.5445959
"279",-83.357567,33.9519347
"280",-83.860493,33.5967091
"281",-82.907123,40.4172871
"282",-157.8583333,21.3069444
"283",-118.4807049,34.074609
"284",-77.4146876,42.7481821
"285",-117.0991967,32.6781085
"286",-76.1474244,43.0481221
"287",-87.8211854,42.5847425
"288",-157.8583333,21.3069444
"289",-92.2895948,34.7464809
"290",-92.2895948,34.7464809
"291",-70.8772751,42.8125913
"292",-82.907123,40.4172871
"293",NA,NA
"294",-71.0588801,42.3600825
"295",-81.655651,30.3321838
"296",-1.0923964,51.26654
"297",-90.0489801,35.1495343
"298",-89.3985283,40.6331249
"299",-43.1819148,-22.9070828
"300",-46.620967,-23.6818396
"301",-111.8910474,40.7607793
"302",-95.9618958,36.0404924
"303",-115.1398296,36.1699412
"304",-122.2913078,37.8271784
"305",NA,NA
"306",NA,NA
"307",-95.2352501,38.9716689
"308",174.7633315,-36.8484597
"309",NA,NA
"310",-99.9018131,31.9685988
"311",-85.6023643,44.3148443
"312",NA,NA
"313",-95.3698028,29.7604267
"314",NA,NA
"315",-43.1728965,-22.9068467
"316",-96.3344068,30.627977
"317",-102.552784,23.634501
"318",-82.1590521,37.2291595
"319",-93.2650108,44.977753
"320",-94.6858998,46.729553
"321",-96.7969879,32.7766642
"322",-95.3698028,29.7604267
"323",-82.9000751,32.1656221
"324",NA,NA
"325",-122.6764815,45.5230622
"326",-76.4921829,38.9784453
"327",-122.2711137,37.8043637
"328",-43.1809269,-22.9511149
"329",-43.1728965,-22.9068467
"330",-102.4107493,34.2331373
"331",NA,NA
"332",-86.80249,33.5206608
"333",NA,NA
"334",-43.1728965,-22.9068467
"335",NA,NA
"336",NA,NA
"337",-77.0732748,39.5156627
"338",-115.1398296,36.1699412
"339",-1.128462,53.52282
"340",-58.3815591,-34.6036844
"341",-77.7924992,40.7756184
"342",-90.1848103,32.2987573
"343",-76.4921829,38.9784453
"344",-90.1848103,32.2987573
"345",-44.2493388,-2.9410215
"346",-43.1728965,-22.9068467
"347",-43.1728965,-22.9068467
"348",-43.1728965,-22.9068467
"349",-118.2436849,34.0522342
"350",4.469936,50.503887
"351",-120.7401385,47.7510741
"352",-74.0077944,40.7291207
"353",-87.6297982,41.8781136
"354",-122.6764815,45.5230622
"355",-43.1728965,-22.9068467
"356",-43.1779137,-22.5112638
"357",-109.7124043,23.0798696
"358",-80.8017877,35.2456474
"359",-80.8100724,35.5848596
"360",-79.0192997,35.7595731
"361",NA,NA
"362",-80.8428504,35.410694
"363",-78.6381787,35.7795897
"364",-71.1828321,42.3709299
"365",-74.0059728,40.7127753
"366",-42.7289236,-7.7183401
"367",-89.3985283,40.6331249
"368",-110.926479,32.2217429
"369",-123.2620435,44.5645659
"370",NA,NA
"371",-98.2269553,29.561618
"372",-95.9979883,41.2523634
"373",NA,NA
"374",-82.3248262,29.6516344
"375",-2.7048634,52.0512852
"376",-91.9623327,30.9842977
"377",-87.6297982,41.8781136
